,Expiration Date,ID,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Flag,Expiry,BDTE,Mid,2997_g,3007_g,3017_g,3027_g,3037_g,3047_g,3057_g,3067_g,3077_g,3087_g,3097_g,3107_g,3117_g,3127_g,3137_g,3147_g,3157_g,3167_g,3177_g,3187_g,2997_GEX,3007_GEX,3017_GEX,3027_GEX,3037_GEX,3047_GEX,3057_GEX,3067_GEX,3077_GEX,3087_GEX,3097_GEX,3107_GEX,3117_GEX,3127_GEX,3137_GEX,3147_GEX,3157_GEX,3167_GEX,3177_GEX,3187_GEX
328,06/24/2020,SPXW200624C03030000,95.76,-0.64,68.5,70.2,18,0.17344702829094083,0.9247257217687377,0.0032,28,3030.0,c,2020-06-24,2,69.35,0.006737097022480043,0.007630683906967306,0.008248812957134533,0.008514454279406891,0.008395718573694921,0.007912073343163684,0.007129302517228098,0.006144965070120634,0.005068694974852406,0.0040027953929211435,0.0030276501661319344,0.002194345398720543,0.0015245481677084172,0.0010157621943562845,0.0006492820148196188,0.0003983262786277919,0.00023462817466679553,0.00013274757293402217,7.216812036858755e-05,3.77144715457689e-05,0.05653502337384353,0.06424730622310193,0.06968267233668968,0.07216510869054105,0.07139383246327212,0.06750264493453528,0.061023977826465625,0.052770502036167954,0.04366984842533839,0.034598562258253196,0.026254571180629682,0.019089927230709236,0.013305646588491982,0.008893607468905884,0.0057030335053696035,0.003509891836756651,0.0020740192127846058,0.001177152377749735,0.0006419787315508074,0.00033654885828582337
329,06/24/2020,SPXW200624C03035000,91.76,-0.74,65.0,66.7,12,0.19488563751979546,0.882287669096371,0.0033,26,3035.0,c,2020-06-24,2,65.85,0.005928128112842046,0.006656168718421895,0.00720205260762441,0.007512291340106003,0.007556657628526864,0.0073330285133010875,0.006867308997016153,0.0062085588581339834,0.005420579256565361,0.0045719244212705235,0.003726464257169937,0.002936187968316517,0.0022371870045390096,0.0016488964149630192,0.0011759703966163215,0.0008117999072965176,0.000542609228659785,0.00035127357023156947,0.00022032168089936022,0.00013392224218478077,0.04619315988088779,0.052039258274366056,0.056494341064727394,0.05912323530490226,0.05966887996637383,0.05809371848807387,0.054582745370083785,0.04950829004653201,0.0433657181683742,0.036695179790001475,0.030006235491583762,0.023719113645654488,0.018130610922185042,0.013405857632932339,0.009591449748882042,0.0066423092014815666,0.004453845070685247,0.0028924568320007893,0.0018199011485648953,0.0011097064831915304
330,06/24/2020,SPXW200624C03040000,74.0,-14.6,61.6,63.3,13,0.20982833584234886,0.8450247983404324,0.0034,31,3040.0,c,2020-06-24,2,62.45,0.005363338875241652,0.0060165717918891914,0.006536939380907825,0.006880953584698091,0.007019513503792041,0.006941991053110996,0.0066575057644513436,0.006193282260369415,0.005590374101416273,0.0048977766198277095,0.004166023757079529,0.0034413879745898157,0.002761583033361603,0.0021533601568535232,0.0016320353779519792,0.001202585480086782,0.0008617735147709027,0.0006007273611885466,0.000407458458084875,0.00026898334226643783,0.04982917248820761,0.05608467727245348,0.061138032947816605,0.06456880415273147,0.06608661378415093,0.06557196489037054,0.06309118487797605,0.058883869746914286,0.0533249014411794,0.04687025291876523,0.03999674428459343,0.03314641655485672,0.026684348376463163,0.020874027352490995,0.015871054439969612,0.011732063168082618,0.008433918857008393,0.005897761013940794,0.004012936116140509,0.002657474726589726
331,06/24/2020,SPXW200624C03045000,76.32,-8.48,58.3,59.9,7,0.22074467311242232,0.8112619133168408,0.0035,34,3045.0,c,2020-06-24,2,59.099999999999994,0.004921778220534634,0.005535533098566248,0.0060482310537679496,0.006421740774698037,0.006627589996810457,0.006650557722309713,0.0064905214358645935,0.006162239500895339,0.005693140394669172,0.005119588024626864,0.004482311908304837,0.0038217812914354,0.003174224900703848,0.0025687850779831933,0.002026025924806163,0.001557746571734242,0.0011678564248995826,0.0008539416285202606,0.0006091394766372105,0.00042399221911182394,0.05015193571160381,0.0565941832931216,0.06204154450334087,0.06609127170503726,0.06843516878906541,0.06889844789158417,0.0674611817000894,0.06425860106743642,0.05956049618094993,0.05373417198887864,0.047197847932068264,0.04037253320646527,0.03363980065267924,0.027310809192101715,0.021609187308797573,0.01666757676824204,0.01253553729358714,0.009195072667580462,0.00657980279873982,0.004594294887851902
332,06/24/2020,SPXW200624C03050000,67.9,-13.15,55.1,56.6,48,0.22965112125144674,0.779039576104168,0.0035,322,3050.0,c,2020-06-24,2,55.85,0.004546061536103707,0.005132113916062053,0.00564061712893249,0.006037274271619708,0.006294375580750966,0.006394019180788746,0.006330171586910183,0.006109232657536268,0.00574904397865339,0.0052765390279319035,0.004724465156868973,0.004127725858893427,0.0035198678460801602,0.002930226656872037,0.0023819687555715063,0.0018911693189238576,0.0014668391656869062,0.0011117047904463107,0.0008234695769715472,0.0005962820637250843,0.43871039484323043,0.4969189827682748,0.5479712884712562,0.5884495008902099,0.6155358001674499,0.6273389614923985,0.6231129722261386,0.6033319332533722,0.5696118279785906,0.5244953665310703,0.47113972862450737,0.4129599846433365,0.3532799840546659,0.2950427639444513,0.24060599875653563,0.1916386170622388,0.14911212212356872,0.11336876409725959,0.0842404436424431,0.061191300174357366
333,06/24/2020,SPXW200624C03055000,64.4,-12.95,52.0,53.3,13,0.23655244505894982,0.748389512876102,0.0036,25,3055.0,c,2020-06-24,2,52.65,0.004216048354876989,0.004783543836595072,0.00529193654230653,0.005709637154183156,0.0060095006304550225,0.00617177420281223,0.006186252612394583,0.006053344350220868,0.0057838084899231035,0.0053974008551449515,0.004920483007708754,0.004383092644388853,0.003815933098394453,0.0032476162914463202,0.00270250993139598,0.002199388546841874,0.001750902640651475,0.0013637635731811315,0.0010394971639016148,0.0007755406272735854,0.03158874229891583,0.03596029079160345,0.039914431370347,0.04320767916428103,0.04562713353672976,0.047013489989922164,0.0472784355902256,0.04641401780531851,0.044491946808733474,0.04165444109958116,0.038096839687185025,0.034045672115290415,0.02973565866923877,0.02538824035838161,0.021194434136972973,0.017303689392278443,0.013818999091341766,0.010797598090661609,0.008256206224288576,0.006179119947802292
334,06/24/2020,SPXW200624C03060000,69.02,-4.68,48.8,50.3,14,0.242421601574963,0.7183828551777793,0.0036,82,3060.0,c,2020-06-24,2,49.55,0.003915407118526559,0.0044664882636880066,0.004973758187531985,0.0054079902334081,0.005742775535111377,0.005957212891871677,0.006038087541071491,0.005981210051686503,0.005791743404870431,0.005483477281131854,0.0050772032977874915,0.004598418072987442,0.004074744879289938,0.0035333938797066367,0.002998982182589316,0.0024919275176671363,0.0020275203382880136,0.0016156613469320291,0.00126118081311688,0.0009645653165080148,0.0962226961006376,0.11013198771306064,0.12304779330462877,0.1342338887795158,0.14301463626109268,0.1488433469885706,0.15135915562705546,0.15042384407388454,0.14613379454564776,0.13880545380820308,0.12893760862863246,0.11715573661273027,0.10414803426772323,0.09060116582710975,0.07714401827561801,0.06430518636440752,0.05248723000539712,0.04195775578301663,0.03285552583483309,0.025207371242430554
335,06/24/2020,SPXW200624C03065000,56.6,-13.5,45.8,47.3,26,0.2474581189844479,0.6888827258457297,0.0037,42,3065.0,c,2020-06-24,2,46.55,0.003637273282564024,0.004172858112383437,0.00467763776157426,0.005124529280919887,0.005488002319253837,0.005746506168691212,0.005884619049822959,0.005894578585241561,0.0057769727135337234,0.005540545444659983,0.005201177799563084,0.004780107190072158,0.004301788862903777,0.0037916149153716106,0.0032737851540787233,0.0027695713811226597,0.002296129366641253,0.001865889913688079,0.0014864973252315394,0.0011612152661655273,0.04578381371694639,0.052700694244535384,0.05927221913201208,0.0651501905600469,0.07000166478301038,0.07354033804320892,0.0755549778282969,0.07593042458793063,0.07465812916608172,0.07183538790819455,0.06765380011003685,0.06237753076612761,0.05631643871981851,0.0497967953295415,0.04313342891904881,0.036606532772850635,0.03044529772404303,0.024818948097930615,0.019834928409494523,0.015543330823732049
337,06/24/2020,SPXW200624C03075000,51.4,-11.8,40.1,41.5,9,0.25507163768933083,0.6313144641097779,0.0038,177,3075.0,c,2020-06-24,2,40.8,0.003130540822127159,0.003637199554873405,0.004134398468025324,0.004598840348535305,0.005006887029423979,0.005336568094094218,0.005569562588902954,0.005692910036714238,0.005700195266911123,0.005592093117456898,0.005376186607009004,0.005066109096674154,0.004680141501012258,0.004239461546262646,0.0037662725560494437,0.0032820348394579923,0.0028059838541594218,0.0023540567894997366,0.0019382801497158653,0.0015666127239910566,0.1660654859372972,0.19358594538862658,0.2207805991511735,0.2463962083097897,0.26914471157798303,0.2878112567938799,0.30136290516669106,0.30904474496206547,0.3104491648022538,0.30555140872853315,0.2947058836177518,0.27860509705158876,0.2582076187381972,0.2346452937163903,0.20912190704738973,0.18281557642400514,0.1567952911881889,0.1319587719865183,0.10899511383095728,0.0883724670990631
338,06/24/2020,SPXW200624C03080000,50.56,-9.29,37.5,38.7,24,0.25831743731117535,0.6028862379018562,0.0038,91,3080.0,c,2020-06-24,2,38.1,0.002897996447259743,0.0033884628347635726,0.0038781786138031293,0.004345744724076894,0.004768725894166437,0.005125441955300403,0.005396836826321305,0.005568176071335529,0.005630392436728471,0.005580858015719059,0.005423559130690592,0.005168586412196419,0.004831087707657389,0.004429805855465929,0.003985394840810841,0.0035187144931114744,0.0030493038138956763,0.0025941743331259204,0.002166983819051893,0.0017776477534425794,0.07903618770718078,0.09272088047161996,0.10647423038838079,0.11970658044600489,0.13179184691930954,0.14211671690398298,0.1501329846203845,0.1554061236981532,0.1576549295031029,0.1567757891201751,0.15285053991251374,0.14613506164251788,0.13703235350138954,0.12605322648138184,0.11376987090217483,0.10076789003937847,0.08760253447826472,0.07476332602838909,0.06264901909746357,0.051554806851015655
