,Expiration Date,ID,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Flag,Expiry,BDTE,Mid,2997_g,3007_g,3017_g,3027_g,3037_g,3047_g,3057_g,3067_g,3077_g,3087_g,3097_g,3107_g,3117_g,3127_g,3137_g,3147_g,3157_g,3167_g,3177_g,3187_g,2997_GEX,3007_GEX,3017_GEX,3027_GEX,3037_GEX,3047_GEX,3057_GEX,3067_GEX,3077_GEX,3087_GEX,3097_GEX,3107_GEX,3117_GEX,3127_GEX,3137_GEX,3147_GEX,3157_GEX,3167_GEX,3177_GEX,3187_GEX
8057,06/24/2020,SPXW200624P02400000,0.1,-0.15,0.1,0.25,3,1.0156189722001328,-0.00207917232353666,0.0,2316,2400.0,p,2020-06-24,2,0.175,6.455946888195285e-05,5.864603080940611e-05,5.3219406659366086e-05,4.8245754058484636e-05,4.369290818040383e-05,3.953026572744989e-05,3.572898421566606e-05,3.226178324489126e-05,2.910296781344357e-05,2.622840167276763e-05,2.3615511213215257e-05,2.124304676609512e-05,1.9091288550043828e-05,1.7141831565314902e-05,1.5377555062645598e-05,1.3782527480410423e-05,1.2342026706191334e-05,1.1042429054475278e-05,9.871121559035245e-06,8.81651703033004e-06,-0.04481106306020166,-0.04084233915152358,-0.03718637919482681,-0.03382284026911364,-0.0307322458725241,-0.02789592347592862,-0.02529616369947263,-0.022916099541518076,-0.020739741082391294,-0.018751974793223877,-0.016938584373449084,-0.015286097083602844,-0.0137819477486687,-0.012414340691777713,-0.011172242777619856,-0.01004532899796523,-0.009024011056930903,-0.008099369944075174,-0.007263104119511532,-0.006507552332043281
8058,06/24/2020,SPXW200624P02425000,0.1,-0.2,0.1,0.25,6,0.9777473106358094,-0.0021553049954700643,0.0,1548,2425.0,p,2020-06-24,2,0.175,7.146204850094762e-05,6.474511038412345e-05,5.8593389029582e-05,5.2967074060106256e-05,4.7828237481617464e-05,4.314085810808166e-05,3.887089539134081e-05,3.498617340280674e-05,3.1456485749536967e-05,2.8253334671823893e-05,2.535015614091307e-05,2.2722035086797376e-05,2.0345802265175905e-05,1.819983413975379e-05,1.626412782229636e-05,1.4520054186784037e-05,1.295046209159878e-05,1.1539455641029761e-05,1.0272461908877872e-05,9.13599446095148e-06,-0.033153788348516226,-0.030137787063999166,-0.027364964227908125,-0.024819290376254965,-0.02248537449946286,-0.02034849013264428,-0.018394625052313707,-0.016610441524328,-0.014983340709625148,-0.013501353231621271,-0.012153260316389525,-0.010928471794672379,-0.00981708560425365,-0.008809804433755564,-0.007897984077878561,-0.00707352570939529,-0.0063289374458278536,-0.005657236591143866,-0.005051992657801373,-0.004507220940923706
8059,06/24/2020,SPXW200624P02450000,0.2,-0.125,0.1,0.2,905,0.9264996629266983,-0.001966895025794224,0.0,92,2450.0,p,2020-06-24,2,0.15000000000000002,7.394512113734208e-05,6.661804996532794e-05,5.994065799264092e-05,5.386454726696854e-05,4.8344062086869144e-05,4.333591707705864e-05,3.879920273952564e-05,3.469550202694904e-05,3.098882539465109e-05,2.764549117406645e-05,2.463403231400818e-05,2.192526715738552e-05,1.9492042702129453e-05,1.7309272626331307e-05,1.5353725790756556e-05,1.360403734107507e-05,1.2040528712953247e-05,1.0645171827361466e-05,9.401427830679765e-06,8.294189293711618e-06,-0.002038844458047251,-0.0018429483814608183,-0.0016637368795069385,-0.0015000414581094466,-0.0013507524323319584,-0.0012148097618709384,-0.001091204297527515,-0.000978982163393205,-0.0008772440648019407,-0.0007851430075399567,-0.0007018827023036467,-0.0006267206065335705,-0.0005589616133433449,-0.0004979600786233496,-0.0004431146678115505,-0.00039386953071374187,-0.0003497099321504993,-0.0003101619844307346,-0.00027478869320624044,-0.0002431889477673421
8060,06/24/2020,SPXW200624P02475000,0.2,-0.15,0.15,0.3,39,0.9255232741629464,-0.0028614542822519295,0.0,374,2475.0,p,2020-06-24,2,0.22499999999999998,9.913965204333408e-05,8.97427399060291e-05,8.113152483169017e-05,7.325276829561744e-05,6.60554061449048e-05,5.949074954880729e-05,5.351214860116471e-05,4.807539699669405e-05,4.313869039762608e-05,3.866250930517623e-05,3.4609697330267863e-05,3.094539624548531e-05,2.763685252871184e-05,2.465375015248128e-05,2.196762438622102e-05,1.9552163638136832e-05,1.73829117766644e-05,1.543733293973837e-05,1.369456964495086e-05,1.213546846345892e-05,-0.01111234549030282,-0.010092630066763864,-0.009154540509603626,-0.008292931248193192,-0.007502824040481636,-0.006779434938933071,-0.006118140271438643,-0.005514526872823389,-0.0049643918632207296,-0.004463733616817955,-0.0040087651004308,-0.003595910745438635,-0.003221788193016606,-0.002883251149582655,-0.002577325169964117,-0.0023012466454487013,-0.0020524316827119637,-0.0018284872499136628,-0.0016271860262991322,-0.0014464726009398297
8061,06/24/2020,SPXW200624P02500000,0.25,-0.15,0.15,0.3,16,0.88771393629373,-0.0029759992221892184,0.0,200,2500.0,p,2020-06-24,2,0.22499999999999998,0.00011088060025699065,0.00010008258444216267,9.020745372900763e-05,8.119220074043199e-05,7.297600246314317e-05,6.550076092626256e-05,5.8711110972886615e-05,5.2554128271431466e-05,4.698002431524628e-05,4.19416462671407e-05,3.7394686236424945e-05,3.3297513635233145e-05,2.9611304797061422e-05,2.629985257351919e-05,2.3329428111562578e-05,2.0668843997428965e-05,1.8289208481014896e-05,1.6163901467303177e-05,1.4268396741901057e-05,1.2580200353662363e-05,-0.0066461831794040185,-0.006018966628351662,-0.00544311775800832,-0.004915375832825752,-0.004432562389611316,-0.00399161637084644,-0.0035895973248822872,-0.003223670228169606,-0.002891150696360256,-0.0025894772405332662,-0.0023162268654841607,-0.0020691074972933876,-0.001845968741048809,-0.0016447927799478899,-0.001463688319719436,-0.001300897041198179,-0.0011547806234912805,-0.0010238215189389832,-0.0009066139289803932,-0.000801861970542439
8062,06/24/2020,SPXW200624P02525000,0.5,0.0,0.2,0.35,0,0.8679966801336931,-0.0036543920621329162,0.0,218,2525.0,p,2020-06-24,2,0.275,0.0001354506484751994,0.0001223902301727975,0.00011042219805190712,9.947585755121224e-05,8.948223717553105e-05,8.03749788946817e-05,7.209030039589948e-05,6.456710555102774e-05,5.774714706419104e-05,5.157521743015536e-05,4.599909342317687e-05,4.096964850708318e-05,3.6440578055074724e-05,3.236867690548095e-05,2.8713589006468254e-05,2.543772942287248e-05,2.2506302377323095e-05,1.988706241351501e-05,1.755024917060588e-05,1.546850106337594e-05,-0.008849613937867762,-0.008022997802425325,-0.007262534219192761,-0.006564272573603924,-0.005924314683785514,-0.005338875823087674,-0.00480428505316377,-0.004316995417405045,-0.0038735977790600447,-0.003470836777310193,-0.0031056103928284173,-0.002774980814470862,-0.0024761591431891605,-0.0022065273884989685,-0.001963624725949742,-0.0017451452519643973,-0.0015489422459935565,-0.0013730147212665245,-0.0012155056872073244,-0.0010746988609797448
8063,06/24/2020,SPXW200624P02550000,0.25,-0.275,0.2,0.4,16,0.8377766658172844,-0.004091200971481634,0.0001,510,2550.0,p,2020-06-24,2,0.30000000000000004,0.0001580722064353779,0.00014266089531922432,0.0001285409445550556,0.00011563059176822321,0.00010384987980671667,9.312127513538826e-05,8.336977330714035e-05,7.452332306812082e-05,6.651314221617355e-05,5.92734589188737e-05,5.2742190059795746e-05,4.6860593183595256e-05,4.15734918712829e-05,3.6829005400917936e-05,3.2578854336495766e-05,2.877795973743602e-05,2.5384524204863368e-05,2.2359884360723115e-05,1.9668342093881463e-05,1.72770411865919e-05,-0.024160862537028205,-0.02187804692347028,-0.01977820951585274,-0.017850703865402995,-0.016084996333622925,-0.01447076679221393,-0.012997931246996329,-0.011656714624346254,-0.010437707868557466,-0.009331835551810717,-0.008330470693374559,-0.0074253890140929535,-0.0066088132823022274,-0.00587337929432219,-0.005212193168732947,-0.004618776203979268,-0.004087086088652436,-0.0036115014422909153,-0.0031868024644453315,-0.002808158443345088
8064,06/24/2020,SPXW200624P02560000,0.4,-0.125,0.25,0.4,36,0.8297113116694519,-0.004442044620875385,0.0001,91,2560.0,p,2020-06-24,2,0.325,0.0001712717478952186,0.00015464774794082814,0.00013940268495105101,0.00012545154248755352,0.00011271082844821478,0.00010109925674406384,9.05377894877546e-05,8.095051517997831e-05,7.226430176476839e-05,6.440943389751652e-05,5.7319735624616897e-05,5.0932503214973224e-05,4.518852653179195e-05,4.0032349657437294e-05,3.5412009991020454e-05,3.127900466415312e-05,2.7588307471848594e-05,2.4298152656587746e-05,2.136997301338539e-05,1.8768252230128013e-05,-0.004671042998821928,-0.004231734580328439,-0.00382725889452562,-0.003455650553899403,-0.003114955352574777,-0.002803249861222379,-0.0025186436044229983,-0.0022593045935186407,-0.0020234510344247503,-0.0018093704942188649,-0.0016154249131878904,-0.0014400503161491882,-0.001281758998516319,-0.0011391485321471384,-0.0010108960256106636,-0.0008957587518706178,-0.0007925762088664967,-0.0007002654701170619,-0.000617820878798081,-0.0005443112207025036
8065,06/24/2020,SPXW200624P02570000,0.2,-0.375,0.25,0.45,109,0.8210791259318131,-0.0047999290398809125,0.0001,182,2570.0,p,2020-06-24,2,0.35,0.00018512716914997895,0.00016722090379062138,0.00015078626569575704,0.00013573488000240275,0.00012197963750182339,0.00010943516426387134,9.801854550239852e-05,8.764935333083201e-05,7.825022463325837e-05,6.974720190289219e-05,6.206958946819441e-05,5.515050305326952e-05,4.892668103995135e-05,4.3338529154279826e-05,3.833028894284496e-05,3.384981406284737e-05,2.9848556681866256e-05,2.628147921512891e-05,2.310697660989902e-05,2.028657714037152e-05,-0.010097835492153262,-0.00915156529011085,-0.008279583377594602,-0.00747782456816437,-0.006742229295493284,-0.006068770808318691,-0.005453497023535148,-0.0048925343133150445,-0.004382122129776955,-0.003918634943390953,-0.003498577238210565,-0.0031186175563544523,-0.0027755812593878155,-0.0024664563681108804,-0.0021884065187294244,-0.0019387616403752082,-0.0017150204606926622,-0.0015148486930725014,-0.0013360777373516153,-0.0011766904485038252
8066,06/24/2020,SPXW200624P02575000,0.2,-0.375,0.25,0.45,1,0.8133886441777464,-0.004842260273352217,0.0001,211,2575.0,p,2020-06-24,2,0.35,0.00018981087812619535,0.00017134800245344195,0.00015440855483106475,0.00013890126160376326,0.00012473582167160657,0.00011182396120190674,0.00010007931150468607,8.941856033395368e-05,7.976131866094249e-05,7.103063859315029e-05,6.315323874961365e-05,5.6059483721782044e-05,4.9683646641263124e-05,4.396386865668234e-05,3.8842125626992186e-05,3.426437661380177e-05,3.018014338440622e-05,2.654272773794375e-05,2.330891812896141e-05,2.0438924858146024e-05,-0.012003013556802777,-0.010871636655265249,-0.0098294478694243,-0.008871581908253878,-0.00799315876779172,-0.007189352566404627,-0.006455385806193314,-0.005786605887883378,-0.005178479685666093,-0.004626630366211859,-0.004126855746599378,-0.0036751308159874707,-0.003267628850855242,-0.0029007228648073036,-0.0025709874847385517,-0.002275212856596681,-0.0020103808372224363,-0.0017736832755420315,-0.0015625063340994894,-0.00137442980933343
