Strike,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,BDTE,Mid,2997_g,3007_g,3017_g,3027_g,3037_g,3047_g,3057_g,3067_g,3077_g,3087_g,3097_g,3107_g,3117_g,3127_g,3137_g,3147_g,3157_g,3167_g,3177_g,3187_g,2997_GEX,3007_GEX,3017_GEX,3027_GEX,3037_GEX,3047_GEX,3057_GEX,3067_GEX,3077_GEX,3087_GEX,3097_GEX,3107_GEX,3117_GEX,3127_GEX,3137_GEX,3147_GEX,3157_GEX,3167_GEX,3177_GEX,3187_GEX,Strike
400.0,0.55,0.0,0.1,0.3,0,1.3390075089142093,-0.00031842220862693393,0.0,138,62,0.2,6.950628961277516e-07,6.811490260716369e-07,6.675540675793457e-07,6.542499875195062e-07,6.412326225557763e-07,6.285050258014735e-07,6.160438825730807e-07,6.038708422195782e-07,5.919617573901803e-07,5.802994196280054e-07,5.689038129474966e-07,5.577610595608462e-07,5.468328567737046e-07,5.361422417138328e-07,5.257114188417233e-07,5.154693338838001e-07,5.054556773131935e-07,4.95676555356539e-07,4.860833957565092e-07,4.7670617453476893e-07,-2.874682829578923e-05,-2.8265368675284286e-05,-2.7793346582039025e-05,-2.7329723028657327e-05,-2.6874443950886118e-05,-2.642775642791584e-05,-2.5988796856557528e-05,-2.555859184860676e-05,-2.513623531935627e-05,-2.4721103455804805e-05,-2.4314152500037878e-05,-2.391489784636658e-05,-2.3521796600978195e-05,-2.3135931699780343e-05,-2.275836274850951e-05,-2.2386111513506002e-05,-2.2020985311232977e-05,-2.1663345581235394e-05,-2.131115988679433e-05,-2.096582357974386e-05,400.0
500.0,0.37,0.0,0.15,0.4,0,1.2250897524493671,-0.00047222276705616295,0.0,23,62,0.275,1.105840974346961e-06,1.0827028162907482e-06,1.0600476052502472e-06,1.0379341830457633e-06,1.016297601630356e-06,9.951833801480348e-07,9.745337870015192e-07,9.543527079713954e-07,9.346445839497619e-07,9.153489077817767e-07,8.96512308834474e-07,8.78065953280327e-07,8.600570255978823e-07,8.42430569747421e-07,8.252132310815341e-07,8.083689273519212e-07,7.919259692457103e-07,7.758069187069339e-07,7.600747808922392e-07,7.446759875406883e-07,-7.622672420271037e-06,-7.488080947748443e-06,-7.3557763375919905e-06,-7.226201575782909e-06,-7.0989403771482e-06,-6.974344646415442e-06,-6.852044509786381e-06,-6.73209943730102e-06,-6.61457318507086e-06,-6.499068780141393e-06,-6.3859468270588415e-06,-6.274747108736545e-06,-6.165834822213778e-06,-6.058844900680427e-06,-5.953995983576377e-06,-5.851055133065941e-06,-5.750253655290027e-06,-5.651055176553177e-06,-5.553942431457681e-06,-5.458549456271999e-06,500.0
600.0,0.65,0.0,0.4,0.75,0,2.4158926915950443,-0.0010841456823507123,0.0,342,105,0.575,2.79832268468283e-06,2.7355309684118367e-06,2.6742405512258927e-06,2.6144469922328994e-06,2.556045652912786e-06,2.499153661794651e-06,2.4435281575918566e-06,2.3892363087973933e-06,2.336279503190042e-06,2.2846224911887703e-06,2.234138429813015e-06,2.1848542419711237e-06,2.1367729807764135e-06,2.0898216490650157e-06,2.0439491765777973e-06,1.999192478230327e-06,1.9555229657797213e-06,1.912822122918101e-06,1.8711446281294286e-06,1.830450235829062e-06,-0.00016828405377100617,-0.00016516708820815682,-0.000162112403955611,-0.00015911856357370133,-0.00015618192622243732,-0.00015330944709374125,-0.0001504885171152437,-0.00014772191476128405,-0.00014501400588590174,-0.00014236227933406287,-0.0001397572703795147,-0.0001372058389234876,-0.00013470584275299124,-0.0001322542832378204,-0.00012984820845121647,-0.00012749130218520088,-0.0001251838296269514,-0.00012291554974119823,-0.0001206950927698791,-0.00011851787403960311,600.0
700.0,1.3,0.0,0.8500000000000001,1.4,0,3.394851134699816,-0.002251811631147349,0.0,1007,154,1.125,6.157763188241461e-06,6.0143595659312155e-06,5.874596364918716e-06,5.738245434372402e-06,5.6053245378606675e-06,5.475699893509045e-06,5.3491883145184715e-06,5.225772869987821e-06,5.10553044286155e-06,4.9881010433239226e-06,4.873635661706288e-06,4.76198747101364e-06,4.653028795598146e-06,4.546715504094578e-06,4.442971823781505e-06,4.3418213468982e-06,4.243069784415354e-06,4.146772092372686e-06,4.0527689537661615e-06,3.961027339460799e-06,-0.0005580039114662094,-0.0005465028314428633,-0.0005352619797150404,-0.0005242633499694671,-0.000513506627874194,-0.0005029847720954828,-0.0004926882816926326,-0.00048261117499354134,-0.00047276435353943436,-0.0004631193232562114,-0.00045369032187031477,-0.0004444649814563384,-0.00043543628496200965,-0.0004266042613400578,-0.00041795826301660455,-0.0004095015221916576,-0.00040122511143719786,-0.00039313176539823575,-0.0003852064676265199,-0.0003774513890502096,700.0
800.0,3.5,0.0,1.65,4.750000000000001,214,7.197526804004746,-0.006396365906478907,0.0,2420,248,3.2,1.76167536114491e-05,1.720259157345083e-05,1.679881012073281e-05,1.6405113101303215e-05,1.6021471094251893e-05,1.564716162194557e-05,1.5282337340050134e-05,1.4926554992023e-05,1.4579630280842082e-05,1.424137474614895e-05,1.39114433861387e-05,1.358986395638695e-05,1.3275933130607598e-05,1.2969849638722053e-05,1.2671574345368697e-05,1.2380370340014935e-05,1.2096340873402056e-05,1.181944847550298e-05,1.154917592116611e-05,1.1285544027073158e-05,-0.0035280431391193075,-0.0034655390227378287,-0.0034042655047701598,-0.003344083846423429,-0.0032851290314033776,-0.0032271889015562383,-0.003170345084078263,-0.003114589303256282,-0.003059936543549413,-0.0030062492013568087,-0.002953541817841687,-0.0029019162939343257,-0.0028511150739610187,-0.0028013429038910294,-0.0027525625693290974,-0.0027045747761002266,-0.0026575215404058827,-0.002611367332987446,-0.002566037070540511,-0.0025215442956958156,800.0
900.0,4.42,0.0,2.0999999999999996,4.35,0,5.172823642370609,-0.007045079798770337,0.0,4192,244,3.2249999999999996,2.0969126435232965e-05,2.0454561378002722e-05,1.995351994743544e-05,1.9464896361398587e-05,1.8989326777685278e-05,1.8525929124102447e-05,1.8074206020735062e-05,1.763410417687794e-05,1.7205431523947823e-05,1.6787585210842337e-05,1.638039370810418e-05,1.5983348811143827e-05,1.5596808566886722e-05,1.5219789872844558e-05,1.485253364741368e-05,1.4494450084612254e-05,1.4145517257535545e-05,1.380533742878498e-05,1.3473875626335285e-05,1.3150799060834828e-05,-0.006108951748766245,-0.005983656174777918,-0.005861160017376688,-0.0057410944366595995,-0.005623787516554957,-0.005508989315548163,-0.005396448627428219,-0.005286388743703462,-0.005178740209940247,-0.005073358678943707,-0.0049701559334692225,-0.004869071891172749,-0.004770266005118706,-0.0046735571017862965,-0.004578823936136622,-0.004486062147540992,-0.004395332770024241,-0.00430644173096445,-0.004219541306508479,-0.004134476767220618,900.0
1000.0,5.050000000000001,0.125,4.0,7.2,9493,6.320967179282027,-0.012016360057051645,0.0,58196,262,5.6,3.540465226548051e-05,3.453773322892317e-05,3.369328510638425e-05,3.287051963951626e-05,3.2068787902961304e-05,3.1287914481481494e-05,3.052675612291722e-05,2.9785728883346962e-05,2.9063129125539433e-05,2.835912810139618e-05,2.7673144331608057e-05,2.7004776192995905e-05,2.6353463855599557e-05,2.5718610019431765e-05,2.5099801126415855e-05,2.4496801254159095e-05,2.3909248469955457e-05,2.333648857488768e-05,2.2778252894983808e-05,2.2234028229650704e-05,-0.16858628440494047,-0.1655220704690255,-0.16251515540986242,-0.15956596318901806,-0.15667177892011352,-0.15383259541757532,-0.15104532202125148,-0.14831737532121472,-0.14563519740372594,-0.14300318564654038,-0.14042274408241145,-0.13789174718467745,-0.13540783673584367,-0.13297011299223876,-0.13057644643490446,-0.12822993716439635,-0.12592896244670526,-0.12366842805535425,-0.1214527230470259,-0.11927622095005043,1000.0
1100.0,6.699999999999999,0.15,4.6,7.1,115,5.901485289481072,-0.01388646358403689,0.0,28234,262,5.85,4.501782002730437e-05,4.385093343994839e-05,4.271526077292975e-05,4.1610601630992505e-05,4.053495483713476e-05,3.94883553633818e-05,3.846970908494285e-05,3.747822552302438e-05,3.651344449018268e-05,3.5573844980874014e-05,3.465993075879581e-05,3.377019580641516e-05,3.2904014790613445e-05,3.206102799913069e-05,3.124065506288076e-05,3.0441461573715856e-05,2.966426049244575e-05,2.8907121418786375e-05,2.8170364929636094e-05,2.745300931028538e-05,-0.08570379409764693,-0.0839141673153384,-0.08216242505593108,-0.08044813312834385,-0.07876960563882285,-0.07712779789608602,-0.07551880542174781,-0.0739445737894755,-0.07240437741528283,-0.07089529277511897,-0.0694196423531606,-0.06797586204154277,-0.06656059648133422,-0.06517648393863501,-0.0638214547361865,-0.06249498699105382,-0.06119701880951589,-0.05992607080401229,-0.0586829105370431,-0.05746606505004414,1100.0
1200.0,9.2,0.175,7.4,12.15,230,8.53263014120779,-0.02469036942489844,0.0,53289,361,9.775,8.563598885569235e-05,8.331518197568499e-05,8.105922544299204e-05,7.886558739400584e-05,7.67331770346047e-05,7.465993323574338e-05,7.264431778342129e-05,7.068429286327671e-05,6.877894920265248e-05,6.69258021224195e-05,6.512458072815974e-05,6.337280700208225e-05,6.1669599982217e-05,6.001332680805049e-05,5.840292610637121e-05,5.683702924974554e-05,5.5314349212132186e-05,5.383381934676024e-05,5.239369466059074e-05,5.09936687320689e-05,-0.17979408587398443,-0.17569602336189677,-0.17169234208373502,-0.16777919492301396,-0.16395670199294637,-0.16022127861788832,-0.15657299401007024,-0.15300714913106594,-0.1495248132727961,-0.1461211839529742,-0.14279598650909092,-0.13954604946915594,-0.1363726274188201,-0.13327026085460333,-0.13024115491620983,-0.1272801516938684,-0.12438854381067938,-0.12156428289110863,-0.11880354577714006,-0.1161051925297586,1200.0
1225.0,6.85,0.0,3.65,7.499999999999999,0,3.777052092069191,-0.013683371888850715,0.0,883,166,5.574999999999999,4.562608735270146e-05,4.442838763552004e-05,4.3262745053063156e-05,4.212865278852007e-05,4.1025148833639946e-05,3.99509852977431e-05,3.890589794774968e-05,3.788868219167796e-05,3.68991243115957e-05,3.5935943110132484e-05,3.4998497988603106e-05,3.4086460320992273e-05,3.3198348514673626e-05,3.233438294891755e-05,3.149348171138655e-05,3.067526344047167e-05,2.987842917523409e-05,2.9103279231001977e-05,2.83486648045006e-05,2.761428696818058e-05,-0.0030032755915676552,-0.002933704988302699,-0.002865746635486055,-0.0027994224677246877,-0.0027346375612845586,-0.0026713515724542947,-0.0026095518609867137,-0.0025491995104115484,-0.0024902562595259803,-0.0024327074311072394,-0.0023764946137359577,-0.002321615950440003,-0.0022679712805591112,-0.002215624823655671,-0.002164501013162179,-0.0021145726884687077,-0.0020657834099087613,-0.0020181647854745077,-0.0019716666642517755,-0.0019262413260611733,1225.0
