Strike,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,BDTE,Mid,3000_g,3010_g,3020_g,3030_g,3040_g,3050_g,3060_g,3070_g,3080_g,3090_g,3100_g,3110_g,3120_g,3130_g,3140_g,3150_g,3160_g,3170_g,3180_g,3190_g,3000_GEX,3010_GEX,3020_GEX,3030_GEX,3040_GEX,3050_GEX,3060_GEX,3070_GEX,3080_GEX,3090_GEX,3100_GEX,3110_GEX,3120_GEX,3130_GEX,3140_GEX,3150_GEX,3160_GEX,3170_GEX,3180_GEX,3190_GEX,Strike
400.0,0.7000000000000001,0.0,0.2,0.5,0,2.8130325320408187,-0.0005686013750866303,0.0,4729,110,0.35,1.266328153448626e-06,1.2405682037197607e-06,1.2154033335320946e-06,1.190816334428746e-06,1.1667555810390695e-06,1.1432171875824793e-06,1.120222248296443e-06,1.0977541098355914e-06,1.075760591717767e-06,1.0542500206156546e-06,1.0332085187414464e-06,1.0126183225267482e-06,9.924877586442449e-07,9.727874061837838e-07,9.53552792282153e-07,9.34705091104604e-07,9.162726133382648e-07,8.982409260838153e-07,8.805989271110093e-07,8.63329407962965e-07,-0.0008982698756487828,-0.0008829303788263075,-0.0008678939970052645,-0.0008531526224953012,-0.0008386732456955315,-0.0008244567972118255,-0.0008105222448656635,-0.0007968613549608206,-0.0007834398630879312,-0.0007702672196874261,-0.0007573366781948865,-0.0007446385033441083,-0.0007321820392580669,-0.0007199487722614473,-0.0007079681312882613,-0.0006961847091938034,-0.0006846224037793113,-0.0006732733423028825,-0.0006621320198829661,-0.0006511882208559694,400.0
500.0,0.62,0.025,0.35,0.7,1,2.591658117896337,-0.0009073073799825693,0.0,2605,110,0.525,2.1371848735185495e-06,2.092187534330492e-06,2.048281544375641e-06,2.005337007560115e-06,1.963343376765181e-06,1.922287884426055e-06,1.8822532421580718e-06,1.8430496018240206e-06,1.8047857652803145e-06,1.7673607022317128e-06,1.7307694166746046e-06,1.695008577939916e-06,1.66006930424345e-06,1.6258672186353351e-06,1.5924880858442236e-06,1.5598058955568206e-06,1.527893644936995e-06,1.4967022066159075e-06,1.4661724612174964e-06,1.4362810940582449e-06,-0.0008609187249764005,-0.000845706727710116,-0.0008308145987645509,-0.0008161920012933477,-0.0008018284401156706,-0.0007877613080492507,-0.0007739743419565848,-0.0007604198701344211,-0.0007471509834067191,-0.0007341352115586286,-0.0007213557123075808,-0.0007088104141339534,-0.0006965215134924208,-0.000684437988197617,-0.0006726168467424687,-0.0006609920945463421,-0.0006496136665690154,-0.0006384289850724922,-0.000627459908637551,-0.0006166778209940049,500.0
600.0,1.1500000000000001,0.05,0.75,1.4,4,5.189878987008322,-0.0020526970060857908,0.0,6494,182,1.075,5.360569210743904e-06,5.239171874116266e-06,5.120801560565269e-06,5.005331704666105e-06,4.8926118711989375e-06,4.782598761465806e-06,4.675266285225632e-06,4.5705983442445586e-06,4.468391767709079e-06,4.368644335173144e-06,4.27127833102503e-06,4.176211598760915e-06,4.083491322859345e-06,3.992977060107705e-06,3.90458831933671e-06,3.818299565416794e-06,3.734036413405306e-06,3.651832725104498e-06,3.571609674679621e-06,3.493180189551026e-06,-0.0024110845803226866,-0.00236347918862706,-0.002316883588683316,-0.0022713108917360447,-0.002226675444569892,-0.002182955418117416,-0.002140189433409989,-0.0020983306959074244,-0.002057337070651144,-0.0020172184686098604,-0.001977912517314717,-0.001939416893283474,-0.0019017728244663523,-0.0018648984523578216,-0.0018287807724354233,-0.0017934092525664913,-0.001758765214479041,-0.0017248681787729314,-0.0016916889862705897,-0.0016591538807500528,600.0
700.0,2.33,0.0,1.3,2.2,0,6.0541048868806655,-0.003546732669251762,0.0,7282,224,1.75,9.813874157771352e-06,9.583356885833894e-06,9.358770425293983e-06,9.139533019286716e-06,8.925817307492423e-06,8.717506161382005e-06,8.514393634584394e-06,8.316269894947936e-06,8.122988393033381e-06,7.934619628002793e-06,7.750932118355536e-06,7.5717154768284445e-06,7.396832035766465e-06,7.226226284018367e-06,7.0599492918432816e-06,6.897658000326601e-06,6.739394042831748e-06,6.584944811649507e-06,6.434314192560464e-06,6.287334264332145e-06,-0.005027560527393059,-0.0049296998998255015,-0.004833942291780913,-0.004739998940422319,-0.004648035594625455,-0.004558039057322993,-0.004469908524118438,-0.00438351969838352,-0.004298921106645759,-0.0042160610045463565,-0.004134989664922317,-0.004055515901058848,-0.003977622691146987,-0.0039012924515496867,-0.003826618232950496,-0.003753394223064699,-0.0036817291723867385,-0.0036114800768072275,-0.0035426590745141207,-0.0034752237541571525,700.0
800.0,3.7,0.0,1.8,2.7,0,5.6447751058975015,-0.004807072022786074,0.0,9908,224,2.25,1.400706217680181e-05,1.366722290896405e-05,1.3335903492617263e-05,1.3013210509171813e-05,1.2698733731220102e-05,1.2392318282650194e-05,1.2093819279357376e-05,1.1802580024422582e-05,1.1518946352317982e-05,1.1242502484520855e-05,1.0973078001796921e-05,1.0710345388353915e-05,1.0454342946886186e-05,1.0204831424331928e-05,9.961605429431586e-06,9.724575589231677e-06,9.49350653645098e-06,9.268151801578028e-06,9.048413129875144e-06,8.834247222644365e-06,-0.009710058020306889,-0.009514061276394425,-0.009322124680184452,-0.009134293492365496,-0.008950531412903473,-0.008770638938182529,-0.008594624637381365,-0.008422065816771074,-0.008253306865362298,-0.008088103155776682,-0.007926459228091431,-0.007768053882565296,-0.007612954072158118,-0.007461274618041358,-0.007312781851276373,-0.007167431911581089,-0.007025074939588372,-0.0068856841346276445,-0.006749123935962942,-0.006615540164278677,800.0
850.0,0.15,0.0,0.1,0.25,0,1.4443896139092591,-0.00046249458905689433,0.0,392,21,0.175,1.7107548710981746e-06,1.6615669951036693e-06,1.6138765324136273e-06,1.5675968856321276e-06,1.5226786498345746e-06,1.4791406988123867e-06,1.4368528589159268e-06,1.3958342814923697e-06,1.3560250144983854e-06,1.3173931390220162e-06,1.2799095117088655e-06,1.2435483198736108e-06,1.208254052365021e-06,1.1739806349275739e-06,1.1407494393544937e-06,1.1084597129062956e-06,1.07714753783128e-06,1.0467282596238192e-06,1.017253226098802e-06,9.885947616083968e-07,-0.00020118477284114533,-0.00019605161288627215,-0.00019105715941325485,-0.0001861928876878416,-0.00018145456934348658,-0.00017684606195000896,-0.00017235337413268326,-0.00016798028077191773,-0.00016372103615047706,-0.00015957319614345877,-0.00015553460386286133,-0.00015160346277243164,-0.00014777430362045152,-0.0001440427279830736,-0.00014041256699126592,-0.00013687260534966939,-0.00013342841980623632,-0.00013007064045389427,-0.00012680671815257227,-0.0001236217977496068,850.0
900.0,3.9399999999999995,0.0,2.55,3.6500000000000004,0,6.6792591128431615,-0.007025336039578889,0.0,7955,245,3.1,2.1803788496921328e-05,2.1251341242312094e-05,2.0713765425117714e-05,2.0190122629326623e-05,1.9680410634492773e-05,1.9184199506749877e-05,1.8701096504702974e-05,1.8230809362140832e-05,1.7772933125215218e-05,1.7327012880041792e-05,1.6892956755665267e-05,1.6470326491546672e-05,1.605857530284638e-05,1.5657505292310248e-05,1.5267403452590145e-05,1.4887366062144025e-05,1.4517151647464033e-05,1.4156480709903718e-05,1.380534464523464e-05,1.346345535058191e-05,-0.010855990546759786,-0.010629970253475673,-0.010408878523879284,-0.010192450168912404,-0.00998071918218102,-0.009773577104492392,-0.009570914454815616,-0.009372592388753043,-0.009178664649094337,-0.008988779264565705,-0.008803143776806022,-0.008621453753244468,-0.008443585388706598,-0.008269469262598417,-0.008099329819536427,-0.00793285480418654,-0.00776980222890633,-0.007610251050322037,-0.007454102826673914,-0.007301492397401854,900.0
950.0,0.15,0.0,0.15,0.3,0,1.3517173385292658,-0.0006259968160740592,0.0,88,21,0.22499999999999998,2.443661939466324e-06,2.3710622354400357e-06,2.300645784991673e-06,2.2324164739018215e-06,2.1662799332133886e-06,2.1021639984297735e-06,2.0399754108169077e-06,1.9797144479305473e-06,1.9212678670221806e-06,1.8646056920701426e-06,1.8096693588098844e-06,1.7563950294174902e-06,1.7047183109575315e-06,1.6546169989695159e-06,1.606046129420946e-06,1.5589607382793247e-06,1.5132728403699502e-06,1.4689638394571602e-06,1.4260156944168045e-06,1.384339309851157e-06,-6.451267520191095e-05,-6.280469649233567e-05,-6.11419623819387e-05,-5.952515286011817e-05,-5.795232077332457e-05,-5.642208171785512e-05,-5.493245786247769e-05,-5.3483965525291666e-05,-5.207404426776918e-05,-5.070235797877132e-05,-4.936778010833365e-05,-4.806901916509787e-05,-4.6804745945649984e-05,-4.5574770619616345e-05,-4.437826664815958e-05,-4.321439166510288e-05,-4.2081091145007576e-05,-4.097821526549694e-05,-3.990562319255986e-05,-3.886117310614168e-05,950.0
1000.0,4.07,-0.2,3.4000000000000004,4.5,3168,6.277579046782455,-0.009376305967082055,0.0,86128,245,3.95,3.044419216724492e-05,2.9651424648946545e-05,2.8880645652762382e-05,2.8130472951026775e-05,2.740039917181747e-05,2.6690270549245554e-05,2.5998938002480543e-05,2.5326356567489938e-05,2.4671932552511322e-05,2.4035152479395805e-05,2.3415345218325e-05,2.28122803980213e-05,2.2225194185043762e-05,2.1653880910577072e-05,2.1097928959434853e-05,2.0556494007006876e-05,2.0029953251565757e-05,1.95173735506593e-05,1.9018205899001828e-05,1.8532631262946353e-05,-0.15901053315658942,-0.1555845317168991,-0.15223542469967155,-0.1489597659343045,-0.14575713550957659,-0.1426258728268015,-0.13956177034487371,-0.1365676530035742,-0.1336401645266294,-0.1307773937226775,-0.12797458178726573,-0.12523768900791987,-0.12256012686175932,-0.11994159646656122,-0.11737923994722842,-0.11487367516855862,-0.11242556603585419,-0.110031273485236,-0.10768776770968878,-0.10539815457769884,1000.0
1100.0,5.85,0.0,4.45,5.65,0,5.916289359754858,-0.012488085709652652,0.0,29112,245,5.050000000000001,4.219167959451653e-05,4.10684641849457e-05,3.997534081534582e-05,3.891239608311281e-05,3.787873237293127e-05,3.687301020072198e-05,3.589486152755228e-05,3.4943401505671545e-05,3.401792514345914e-05,3.311793339566549e-05,3.2242602476806326e-05,3.139062176860108e-05,3.056233321974133e-05,2.975613588862558e-05,2.8972333976362563e-05,2.820993716401432e-05,2.746743554826736e-05,2.6745878012324198e-05,2.6043582845858282e-05,2.5360537558860585e-05,-0.08095315720169083,-0.07921087097896738,-0.07750448163867496,-0.07583652644593818,-0.07420517167943785,-0.07260864824955027,-0.07104678222120242,-0.06951935489760697,-0.06802512190469123,-0.06656396493262662,-0.06513528157692239,-0.0637362802726571,-0.06236879196505285,-0.06103014641479109,-0.059722058848392656,-0.05844326183941372,-0.0571896585122289,-0.05596548992047423,-0.05476716155156547,-0.05359591293430443,1100.0
