,Expiration Date,ID,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Flag,Expiry,BDTE,Mid
221,06/24/2020,SPXW200624C00800000,0.0,0.0,2268.6,2275.1,0,,0.999841282464331,0.0,0,800.0,c,2020-06-24,2,2271.85
222,06/24/2020,SPXW200624C00900000,0.0,0.0,2168.6,2175.1,0,,0.9998412824415936,-4.547473508864641e-09,0,900.0,c,2020-06-24,2,2171.85
223,06/24/2020,SPXW200624C01000000,0.0,0.0,2068.6,2075.2,0,,0.999841282464331,0.0,0,1000.0,c,2020-06-24,2,2071.8999999999996
224,06/24/2020,SPXW200624C01100000,0.0,0.0,1968.6,1975.2,0,,0.9998412824529623,2.2737367544323206e-09,0,1100.0,c,2020-06-24,2,1971.9
225,06/24/2020,SPXW200624C01200000,0.0,0.0,1868.5,1875.2,0,,0.9998412824529623,-2.2737367544323206e-09,0,1200.0,c,2020-06-24,2,1871.85
226,06/24/2020,SPXW200624C01300000,0.0,0.0,1768.5,1774.5,0,,0.999841282464331,0.0,0,1300.0,c,2020-06-24,2,1771.5
227,06/24/2020,SPXW200624C01400000,0.0,0.0,1668.5,1674.7,0,,0.999841282464331,0.0,0,1400.0,c,2020-06-24,2,1671.6
228,06/24/2020,SPXW200624C01500000,0.0,0.0,1568.4,1574.6,0,,0.999841282464331,0.0,0,1500.0,c,2020-06-24,2,1571.5
229,06/24/2020,SPXW200624C01600000,0.0,0.0,1468.6,1475.2,0,,0.999841282464331,0.0,0,1600.0,c,2020-06-24,2,1471.9
230,06/24/2020,SPXW200624C01700000,0.0,0.0,1368.4,1375.3,0,,0.9998412824529623,2.2737367544323206e-09,0,1700.0,c,2020-06-24,2,1371.85
231,06/24/2020,SPXW200624C01800000,0.0,0.0,1268.7,1275.3,0,,0.9998412824529623,2.2737367544323206e-09,0,1800.0,c,2020-06-24,2,1272.0
232,06/24/2020,SPXW200624C01900000,0.0,0.0,1168.6,1175.2,0,,0.9998412824529623,-2.2737367544323206e-09,0,1900.0,c,2020-06-24,2,1171.9
233,06/24/2020,SPXW200624C01950000,0.0,0.0,1118.6,1125.2,0,,0.999841282464331,0.0,0,1950.0,c,2020-06-24,2,1121.9
234,06/24/2020,SPXW200624C02000000,0.0,0.0,1068.6,1074.7,0,,0.999841282464331,0.0,0,2000.0,c,2020-06-24,2,1071.65
235,06/24/2020,SPXW200624C02050000,0.0,0.0,1018.7,1025.2,0,,0.9998412824529623,2.2737367544323206e-09,0,2050.0,c,2020-06-24,2,1021.95
236,06/24/2020,SPXW200624C02100000,0.0,0.0,968.7,974.7,0,,0.999841282464331,0.0,0,2100.0,c,2020-06-24,2,971.7
237,06/24/2020,SPXW200624C02150000,934.3,-22.85,918.7,924.9,1,,0.999841282464331,0.0,1,2150.0,c,2020-06-24,2,921.8
238,06/24/2020,SPXW200624C02200000,0.0,0.0,868.7,875.0,0,,0.9998412824586467,1.1368683772161603e-09,0,2200.0,c,2020-06-24,2,871.85
239,06/24/2020,SPXW200624C02250000,0.0,0.0,818.7,825.0,0,,0.9998412824586467,1.1368683772161603e-09,0,2250.0,c,2020-06-24,2,821.85
240,06/24/2020,SPXW200624C02300000,0.0,0.0,768.7,774.9,0,,0.9998412824586467,1.1368683772161603e-09,0,2300.0,c,2020-06-24,2,771.8
241,06/24/2020,SPXW200624C02350000,689.65,0.0,718.7,725.3,0,,0.9998412824586467,-1.1368683772161603e-09,1,2350.0,c,2020-06-24,2,722.0
242,06/24/2020,SPXW200624C02375000,771.07,38.72,693.8,700.3,1,,0.9998412824586467,1.1368683772161603e-09,2,2375.0,c,2020-06-24,2,697.05
243,06/24/2020,SPXW200624C02400000,746.02,38.77,668.8,675.4,1,,0.9998412824586467,-1.1368683772161603e-09,1,2400.0,c,2020-06-24,2,672.0999999999999
244,06/24/2020,SPXW200624C02425000,0.0,0.0,643.9,650.4,0,,0.9998412824586467,1.1368683772161603e-09,0,2425.0,c,2020-06-24,2,647.15
245,06/24/2020,SPXW200624C02450000,0.0,0.0,618.8,625.1,0,,0.999841282464331,0.0,0,2450.0,c,2020-06-24,2,621.95
246,06/24/2020,SPXW200624C02475000,0.0,0.0,593.8,600.1,0,,0.9998412824586467,1.1368683772161603e-09,0,2475.0,c,2020-06-24,2,596.95
247,06/24/2020,SPXW200624C02500000,0.0,0.0,568.9,575.4,0,,0.999841282464331,0.0,0,2500.0,c,2020-06-24,2,572.15
248,06/24/2020,SPXW200624C02525000,0.0,0.0,543.9,550.0,0,,0.9998412824586467,-1.1368683772161603e-09,0,2525.0,c,2020-06-24,2,546.95
249,06/24/2020,SPXW200624C02550000,0.0,0.0,518.9,525.1,0,,0.9998412824586467,1.1368683772161603e-09,0,2550.0,c,2020-06-24,2,522.0
250,06/24/2020,SPXW200624C02560000,0.0,0.0,508.9,515.5,0,,0.9998412824586467,-1.1368683772161603e-09,0,2560.0,c,2020-06-24,2,512.2
251,06/24/2020,SPXW200624C02570000,0.0,0.0,498.7,505.0,0,,0.999841282464331,0.0,0,2570.0,c,2020-06-24,2,501.85
252,06/24/2020,SPXW200624C02575000,0.0,0.0,494.0,500.0,0,,0.9998412824586467,-1.1368683772161603e-09,0,2575.0,c,2020-06-24,2,497.0
253,06/24/2020,SPXW200624C02580000,0.0,0.0,489.0,495.6,0,,0.9998412824586467,-1.1368683772161603e-09,0,2580.0,c,2020-06-24,2,492.3
254,06/24/2020,SPXW200624C02590000,0.0,0.0,478.8,484.9,0,,0.9998412824586467,0.0,0,2590.0,c,2020-06-24,2,481.85
255,06/24/2020,SPXW200624C02600000,500.03,-7.72,469.0,475.2,1,,0.9998412824614888,-5.684341886080801e-10,0,2600.0,c,2020-06-24,2,472.1
256,06/24/2020,SPXW200624C02610000,0.0,0.0,459.0,465.6,0,,0.9998412824614888,-5.684341886080801e-10,0,2610.0,c,2020-06-24,2,462.3
257,06/24/2020,SPXW200624C02620000,505.7,0.0,449.0,455.1,0,,0.9998412824614888,5.684341886080801e-10,1,2620.0,c,2020-06-24,2,452.05
258,06/24/2020,SPXW200624C02625000,0.0,0.0,444.0,450.7,0,,0.9998412824586467,0.0,0,2625.0,c,2020-06-24,2,447.35
259,06/24/2020,SPXW200624C02630000,0.0,0.0,439.0,445.7,0,,0.9998412824614888,5.684341886080801e-10,0,2630.0,c,2020-06-24,2,442.35
260,06/24/2020,SPXW200624C02640000,0.0,0.0,429.1,435.4,0,,0.9998412824586467,0.0,0,2640.0,c,2020-06-24,2,432.25
261,06/24/2020,SPXW200624C02650000,0.0,0.0,419.2,425.7,0,,0.9998412824586467,0.0,0,2650.0,c,2020-06-24,2,422.45
262,06/24/2020,SPXW200624C02660000,0.0,0.0,409.2,415.4,0,,0.9998412824586467,0.0,0,2660.0,c,2020-06-24,2,412.29999999999995
263,06/24/2020,SPXW200624C02670000,0.0,0.0,399.2,405.8,0,,0.9998412824614888,-5.684341886080801e-10,0,2670.0,c,2020-06-24,2,402.5
264,06/24/2020,SPXW200624C02675000,443.11,0.0,394.3,400.8,0,,0.9998412824586467,0.0,4,2675.0,c,2020-06-24,2,397.55
