Strike,G_S,G_SS,Strike
100.0,-0.31015728242309026,-29762.671444039202,100.0
200.0,-0.6279907918647909,-60261.95310370799,200.0
300.0,-1.386501621403191,-133048.60002661246,300.0
400.0,-3.4992886629517383,-335791.498911877,400.0
500.0,-6.1494133869050005,-590097.2847652355,500.0
600.0,-11.439680120885198,-1097750.9159316309,600.0
650.0,-1.5663655847930613,-150308.3335565606,650.0
700.0,-20.114213174091123,-1930158.5098337552,700.0
750.0,-4.145468774474637,-397798.8978762963,750.0
800.0,-38.122466282951294,-3658229.2369591403,800.0
850.0,-1.9915312172713584,-191107.19834506192,850.0
900.0,-43.818657616809254,-4204835.364751859,900.0
950.0,-1.4078670211858935,-135098.82231717178,950.0
1000.0,-172.83757130671233,-16585481.42993535,1000.0
1050.0,-1.291542602331608,-123936.33910145877,1050.0
1100.0,-78.42147087119139,-7525318.9396780655,1100.0
1150.0,-9.433194419650182,-905208.6863361392,1150.0
1200.0,-145.66587737502994,-13978087.55303294,1200.0
1225.0,-20.498095075982548,-1966995.79068058,1225.0
1250.0,-58.68300205993937,-5631216.833004547,1250.0
1275.0,-12.456950710171277,-1195368.131565165,1275.0
1300.0,-141.86631244888366,-13613481.564601153,1300.0
1325.0,-17.95018414629812,-1722498.4334802753,1325.0
1350.0,-72.12651621428535,-6921255.524674817,1350.0
1375.0,-20.46736582922426,-1964047.0142796375,1375.0
1400.0,-172.17693479257628,-16522086.795572562,1400.0
1425.0,-23.04916505624366,-2211796.2901564892,1425.0
1450.0,-100.66259713054777,-9659575.882578518,1450.0
1475.0,-33.60630542475346,-3224858.7522783466,1475.0
1500.0,-493.98380523633585,-47402651.90313899,1500.0
1525.0,-21.853811773886456,-2097090.2715700215,1525.0
1550.0,-88.90238830615988,-8531067.05435089,1550.0
1575.0,-42.03570103045867,-4033742.973614156,1575.0
1600.0,-200.65859780229317,-19255185.214914855,1600.0
1625.0,-50.112602403784564,-4808801.872706158,1625.0
1650.0,-238.49530357555187,-22885992.893059656,1650.0
1675.0,-34.438075766529685,-3304675.3769462537,1675.0
1680.0,-0.8544685624611859,-81994.74436038418,1680.0
1690.0,-1.5255299319338889,-146389.74712275094,1690.0
1700.0,-431.29635009383355,-41387168.028334625,1700.0
1710.0,-0.5960334443777526,-57195.32824148001,1710.0
1720.0,-0.5060150225499882,-48557.16668731745,1720.0
1725.0,-60.78488178970498,-5832913.067002898,1725.0
1730.0,-0.6324496073517594,-60689.82073051809,1730.0
