,Last Sale_x,Net_x,Bid_x,Ask_x,Vol_x,IV_x,Delta_x,Gamma_x,Open Int_x,BDTE_x,Mid_x,2997_g,3007_g,3017_g,3027_g,3037_g,3047_g,3057_g,3067_g,3077_g,3087_g,3097_g,3107_g,3117_g,3127_g,3137_g,3147_g,3157_g,3167_g,3177_g,3187_g,2997_GEX,3007_GEX,3017_GEX,3027_GEX,3037_GEX,3047_GEX,3057_GEX,3067_GEX,3077_GEX,3087_GEX,3097_GEX,3107_GEX,3117_GEX,3127_GEX,3137_GEX,3147_GEX,3157_GEX,3167_GEX,3177_GEX,3187_GEX,Strike_x,Strikes,Last Sale_y,Net_y,Bid_y,Ask_y,Vol_y,IV_y,Delta_y,Gamma_y,Open Int_y,BDTE_y,Mid_y,3000_g,3010_g,3020_g,3030_g,3040_g,3050_g,3060_g,3070_g,3080_g,3090_g,3100_g,3110_g,3120_g,3130_g,3140_g,3150_g,3160_g,3170_g,3180_g,3190_g,3000_GEX,3010_GEX,3020_GEX,3030_GEX,3040_GEX,3050_GEX,3060_GEX,3070_GEX,3080_GEX,3090_GEX,3100_GEX,3110_GEX,3120_GEX,3130_GEX,3140_GEX,3150_GEX,3160_GEX,3170_GEX,3180_GEX,3190_GEX,Strike_y,op_int_change
0,0.55,0.0,0.1,0.3,0,1.3390075089142093,-0.00031842220862693393,0.0,138,62,0.2,6.950628961277516e-07,6.811490260716369e-07,6.675540675793457e-07,6.542499875195062e-07,6.412326225557763e-07,6.285050258014735e-07,6.160438825730807e-07,6.038708422195782e-07,5.919617573901803e-07,5.802994196280054e-07,5.689038129474966e-07,5.577610595608462e-07,5.468328567737046e-07,5.361422417138328e-07,5.257114188417233e-07,5.154693338838001e-07,5.054556773131935e-07,4.95676555356539e-07,4.860833957565092e-07,4.7670617453476893e-07,-2.874682829578923e-05,-2.8265368675284286e-05,-2.7793346582039025e-05,-2.7329723028657327e-05,-2.6874443950886118e-05,-2.642775642791584e-05,-2.5988796856557528e-05,-2.555859184860676e-05,-2.513623531935627e-05,-2.4721103455804805e-05,-2.4314152500037878e-05,-2.391489784636658e-05,-2.3521796600978195e-05,-2.3135931699780343e-05,-2.275836274850951e-05,-2.2386111513506002e-05,-2.2020985311232977e-05,-2.1663345581235394e-05,-2.131115988679433e-05,-2.096582357974386e-05,400.0,400.0,0.7000000000000001,0.0,0.2,0.5,0,2.8130325320408187,-0.0005686013750866303,0.0,4729,110,0.35,1.266328153448626e-06,1.2405682037197607e-06,1.2154033335320946e-06,1.190816334428746e-06,1.1667555810390695e-06,1.1432171875824793e-06,1.120222248296443e-06,1.0977541098355914e-06,1.075760591717767e-06,1.0542500206156546e-06,1.0332085187414464e-06,1.0126183225267482e-06,9.924877586442449e-07,9.727874061837838e-07,9.53552792282153e-07,9.34705091104604e-07,9.162726133382648e-07,8.982409260838153e-07,8.805989271110093e-07,8.63329407962965e-07,-0.0008982698756487828,-0.0008829303788263075,-0.0008678939970052645,-0.0008531526224953012,-0.0008386732456955315,-0.0008244567972118255,-0.0008105222448656635,-0.0007968613549608206,-0.0007834398630879312,-0.0007702672196874261,-0.0007573366781948865,-0.0007446385033441083,-0.0007321820392580669,-0.0007199487722614473,-0.0007079681312882613,-0.0006961847091938034,-0.0006846224037793113,-0.0006732733423028825,-0.0006621320198829661,-0.0006511882208559694,400.0,-4591
1,0.37,0.0,0.15,0.4,0,1.2250897524493671,-0.00047222276705616295,0.0,23,62,0.275,1.105840974346961e-06,1.0827028162907482e-06,1.0600476052502472e-06,1.0379341830457633e-06,1.016297601630356e-06,9.951833801480348e-07,9.745337870015192e-07,9.543527079713954e-07,9.346445839497619e-07,9.153489077817767e-07,8.96512308834474e-07,8.78065953280327e-07,8.600570255978823e-07,8.42430569747421e-07,8.252132310815341e-07,8.083689273519212e-07,7.919259692457103e-07,7.758069187069339e-07,7.600747808922392e-07,7.446759875406883e-07,-7.622672420271037e-06,-7.488080947748443e-06,-7.3557763375919905e-06,-7.226201575782909e-06,-7.0989403771482e-06,-6.974344646415442e-06,-6.852044509786381e-06,-6.73209943730102e-06,-6.61457318507086e-06,-6.499068780141393e-06,-6.3859468270588415e-06,-6.274747108736545e-06,-6.165834822213778e-06,-6.058844900680427e-06,-5.953995983576377e-06,-5.851055133065941e-06,-5.750253655290027e-06,-5.651055176553177e-06,-5.553942431457681e-06,-5.458549456271999e-06,500.0,500.0,0.62,0.025,0.35,0.7,1,2.591658117896337,-0.0009073073799825693,0.0,2605,110,0.525,2.1371848735185495e-06,2.092187534330492e-06,2.048281544375641e-06,2.005337007560115e-06,1.963343376765181e-06,1.922287884426055e-06,1.8822532421580718e-06,1.8430496018240206e-06,1.8047857652803145e-06,1.7673607022317128e-06,1.7307694166746046e-06,1.695008577939916e-06,1.66006930424345e-06,1.6258672186353351e-06,1.5924880858442236e-06,1.5598058955568206e-06,1.527893644936995e-06,1.4967022066159075e-06,1.4661724612174964e-06,1.4362810940582449e-06,-0.0008609187249764005,-0.000845706727710116,-0.0008308145987645509,-0.0008161920012933477,-0.0008018284401156706,-0.0007877613080492507,-0.0007739743419565848,-0.0007604198701344211,-0.0007471509834067191,-0.0007341352115586286,-0.0007213557123075808,-0.0007088104141339534,-0.0006965215134924208,-0.000684437988197617,-0.0006726168467424687,-0.0006609920945463421,-0.0006496136665690154,-0.0006384289850724922,-0.000627459908637551,-0.0006166778209940049,500.0,-2582
2,0.65,0.0,0.4,0.75,0,2.4158926915950443,-0.0010841456823507123,0.0,342,105,0.575,2.79832268468283e-06,2.7355309684118367e-06,2.6742405512258927e-06,2.6144469922328994e-06,2.556045652912786e-06,2.499153661794651e-06,2.4435281575918566e-06,2.3892363087973933e-06,2.336279503190042e-06,2.2846224911887703e-06,2.234138429813015e-06,2.1848542419711237e-06,2.1367729807764135e-06,2.0898216490650157e-06,2.0439491765777973e-06,1.999192478230327e-06,1.9555229657797213e-06,1.912822122918101e-06,1.8711446281294286e-06,1.830450235829062e-06,-0.00016828405377100617,-0.00016516708820815682,-0.000162112403955611,-0.00015911856357370133,-0.00015618192622243732,-0.00015330944709374125,-0.0001504885171152437,-0.00014772191476128405,-0.00014501400588590174,-0.00014236227933406287,-0.0001397572703795147,-0.0001372058389234876,-0.00013470584275299124,-0.0001322542832378204,-0.00012984820845121647,-0.00012749130218520088,-0.0001251838296269514,-0.00012291554974119823,-0.0001206950927698791,-0.00011851787403960311,600.0,600.0,1.1500000000000001,0.05,0.75,1.4,4,5.189878987008322,-0.0020526970060857908,0.0,6494,182,1.075,5.360569210743904e-06,5.239171874116266e-06,5.120801560565269e-06,5.005331704666105e-06,4.8926118711989375e-06,4.782598761465806e-06,4.675266285225632e-06,4.5705983442445586e-06,4.468391767709079e-06,4.368644335173144e-06,4.27127833102503e-06,4.176211598760915e-06,4.083491322859345e-06,3.992977060107705e-06,3.90458831933671e-06,3.818299565416794e-06,3.734036413405306e-06,3.651832725104498e-06,3.571609674679621e-06,3.493180189551026e-06,-0.0024110845803226866,-0.00236347918862706,-0.002316883588683316,-0.0022713108917360447,-0.002226675444569892,-0.002182955418117416,-0.002140189433409989,-0.0020983306959074244,-0.002057337070651144,-0.0020172184686098604,-0.001977912517314717,-0.001939416893283474,-0.0019017728244663523,-0.0018648984523578216,-0.0018287807724354233,-0.0017934092525664913,-0.001758765214479041,-0.0017248681787729314,-0.0016916889862705897,-0.0016591538807500528,600.0,-6152
3,1.3,0.0,0.8500000000000001,1.4,0,3.394851134699816,-0.002251811631147349,0.0,1007,154,1.125,6.157763188241461e-06,6.0143595659312155e-06,5.874596364918716e-06,5.738245434372402e-06,5.6053245378606675e-06,5.475699893509045e-06,5.3491883145184715e-06,5.225772869987821e-06,5.10553044286155e-06,4.9881010433239226e-06,4.873635661706288e-06,4.76198747101364e-06,4.653028795598146e-06,4.546715504094578e-06,4.442971823781505e-06,4.3418213468982e-06,4.243069784415354e-06,4.146772092372686e-06,4.0527689537661615e-06,3.961027339460799e-06,-0.0005580039114662094,-0.0005465028314428633,-0.0005352619797150404,-0.0005242633499694671,-0.000513506627874194,-0.0005029847720954828,-0.0004926882816926326,-0.00048261117499354134,-0.00047276435353943436,-0.0004631193232562114,-0.00045369032187031477,-0.0004444649814563384,-0.00043543628496200965,-0.0004266042613400578,-0.00041795826301660455,-0.0004095015221916576,-0.00040122511143719786,-0.00039313176539823575,-0.0003852064676265199,-0.0003774513890502096,700.0,700.0,2.33,0.0,1.3,2.2,0,6.0541048868806655,-0.003546732669251762,0.0,7282,224,1.75,9.813874157771352e-06,9.583356885833894e-06,9.358770425293983e-06,9.139533019286716e-06,8.925817307492423e-06,8.717506161382005e-06,8.514393634584394e-06,8.316269894947936e-06,8.122988393033381e-06,7.934619628002793e-06,7.750932118355536e-06,7.5717154768284445e-06,7.396832035766465e-06,7.226226284018367e-06,7.0599492918432816e-06,6.897658000326601e-06,6.739394042831748e-06,6.584944811649507e-06,6.434314192560464e-06,6.287334264332145e-06,-0.005027560527393059,-0.0049296998998255015,-0.004833942291780913,-0.004739998940422319,-0.004648035594625455,-0.004558039057322993,-0.004469908524118438,-0.00438351969838352,-0.004298921106645759,-0.0042160610045463565,-0.004134989664922317,-0.004055515901058848,-0.003977622691146987,-0.0039012924515496867,-0.003826618232950496,-0.003753394223064699,-0.0036817291723867385,-0.0036114800768072275,-0.0035426590745141207,-0.0034752237541571525,700.0,-6275
4,3.5,0.0,1.65,4.750000000000001,214,7.197526804004746,-0.006396365906478907,0.0,2420,248,3.2,1.76167536114491e-05,1.720259157345083e-05,1.679881012073281e-05,1.6405113101303215e-05,1.6021471094251893e-05,1.564716162194557e-05,1.5282337340050134e-05,1.4926554992023e-05,1.4579630280842082e-05,1.424137474614895e-05,1.39114433861387e-05,1.358986395638695e-05,1.3275933130607598e-05,1.2969849638722053e-05,1.2671574345368697e-05,1.2380370340014935e-05,1.2096340873402056e-05,1.181944847550298e-05,1.154917592116611e-05,1.1285544027073158e-05,-0.0035280431391193075,-0.0034655390227378287,-0.0034042655047701598,-0.003344083846423429,-0.0032851290314033776,-0.0032271889015562383,-0.003170345084078263,-0.003114589303256282,-0.003059936543549413,-0.0030062492013568087,-0.002953541817841687,-0.0029019162939343257,-0.0028511150739610187,-0.0028013429038910294,-0.0027525625693290974,-0.0027045747761002266,-0.0026575215404058827,-0.002611367332987446,-0.002566037070540511,-0.0025215442956958156,800.0,800.0,3.7,0.0,1.8,2.7,0,5.6447751058975015,-0.004807072022786074,0.0,9908,224,2.25,1.400706217680181e-05,1.366722290896405e-05,1.3335903492617263e-05,1.3013210509171813e-05,1.2698733731220102e-05,1.2392318282650194e-05,1.2093819279357376e-05,1.1802580024422582e-05,1.1518946352317982e-05,1.1242502484520855e-05,1.0973078001796921e-05,1.0710345388353915e-05,1.0454342946886186e-05,1.0204831424331928e-05,9.961605429431586e-06,9.724575589231677e-06,9.49350653645098e-06,9.268151801578028e-06,9.048413129875144e-06,8.834247222644365e-06,-0.009710058020306889,-0.009514061276394425,-0.009322124680184452,-0.009134293492365496,-0.008950531412903473,-0.008770638938182529,-0.008594624637381365,-0.008422065816771074,-0.008253306865362298,-0.008088103155776682,-0.007926459228091431,-0.007768053882565296,-0.007612954072158118,-0.007461274618041358,-0.007312781851276373,-0.007167431911581089,-0.007025074939588372,-0.0068856841346276445,-0.006749123935962942,-0.006615540164278677,800.0,-7488
5,4.42,0.0,2.0999999999999996,4.35,0,5.172823642370609,-0.007045079798770337,0.0,4192,244,3.2249999999999996,2.0969126435232965e-05,2.0454561378002722e-05,1.995351994743544e-05,1.9464896361398587e-05,1.8989326777685278e-05,1.8525929124102447e-05,1.8074206020735062e-05,1.763410417687794e-05,1.7205431523947823e-05,1.6787585210842337e-05,1.638039370810418e-05,1.5983348811143827e-05,1.5596808566886722e-05,1.5219789872844558e-05,1.485253364741368e-05,1.4494450084612254e-05,1.4145517257535545e-05,1.380533742878498e-05,1.3473875626335285e-05,1.3150799060834828e-05,-0.006108951748766245,-0.005983656174777918,-0.005861160017376688,-0.0057410944366595995,-0.005623787516554957,-0.005508989315548163,-0.005396448627428219,-0.005286388743703462,-0.005178740209940247,-0.005073358678943707,-0.0049701559334692225,-0.004869071891172749,-0.004770266005118706,-0.0046735571017862965,-0.004578823936136622,-0.004486062147540992,-0.004395332770024241,-0.00430644173096445,-0.004219541306508479,-0.004134476767220618,900.0,900.0,3.9399999999999995,0.0,2.55,3.6500000000000004,0,6.6792591128431615,-0.007025336039578889,0.0,7955,245,3.1,2.1803788496921328e-05,2.1251341242312094e-05,2.0713765425117714e-05,2.0190122629326623e-05,1.9680410634492773e-05,1.9184199506749877e-05,1.8701096504702974e-05,1.8230809362140832e-05,1.7772933125215218e-05,1.7327012880041792e-05,1.6892956755665267e-05,1.6470326491546672e-05,1.605857530284638e-05,1.5657505292310248e-05,1.5267403452590145e-05,1.4887366062144025e-05,1.4517151647464033e-05,1.4156480709903718e-05,1.380534464523464e-05,1.346345535058191e-05,-0.010855990546759786,-0.010629970253475673,-0.010408878523879284,-0.010192450168912404,-0.00998071918218102,-0.009773577104492392,-0.009570914454815616,-0.009372592388753043,-0.009178664649094337,-0.008988779264565705,-0.008803143776806022,-0.008621453753244468,-0.008443585388706598,-0.008269469262598417,-0.008099329819536427,-0.00793285480418654,-0.00776980222890633,-0.007610251050322037,-0.007454102826673914,-0.007301492397401854,900.0,-3763
6,5.050000000000001,0.125,4.0,7.2,9493,6.320967179282027,-0.012016360057051645,0.0,58196,262,5.6,3.540465226548051e-05,3.453773322892317e-05,3.369328510638425e-05,3.287051963951626e-05,3.2068787902961304e-05,3.1287914481481494e-05,3.052675612291722e-05,2.9785728883346962e-05,2.9063129125539433e-05,2.835912810139618e-05,2.7673144331608057e-05,2.7004776192995905e-05,2.6353463855599557e-05,2.5718610019431765e-05,2.5099801126415855e-05,2.4496801254159095e-05,2.3909248469955457e-05,2.333648857488768e-05,2.2778252894983808e-05,2.2234028229650704e-05,-0.16858628440494047,-0.1655220704690255,-0.16251515540986242,-0.15956596318901806,-0.15667177892011352,-0.15383259541757532,-0.15104532202125148,-0.14831737532121472,-0.14563519740372594,-0.14300318564654038,-0.14042274408241145,-0.13789174718467745,-0.13540783673584367,-0.13297011299223876,-0.13057644643490446,-0.12822993716439635,-0.12592896244670526,-0.12366842805535425,-0.1214527230470259,-0.11927622095005043,1000.0,1000.0,4.07,-0.2,3.4000000000000004,4.5,3168,6.277579046782455,-0.009376305967082055,0.0,86128,245,3.95,3.044419216724492e-05,2.9651424648946545e-05,2.8880645652762382e-05,2.8130472951026775e-05,2.740039917181747e-05,2.6690270549245554e-05,2.5998938002480543e-05,2.5326356567489938e-05,2.4671932552511322e-05,2.4035152479395805e-05,2.3415345218325e-05,2.28122803980213e-05,2.2225194185043762e-05,2.1653880910577072e-05,2.1097928959434853e-05,2.0556494007006876e-05,2.0029953251565757e-05,1.95173735506593e-05,1.9018205899001828e-05,1.8532631262946353e-05,-0.15901053315658942,-0.1555845317168991,-0.15223542469967155,-0.1489597659343045,-0.14575713550957659,-0.1426258728268015,-0.13956177034487371,-0.1365676530035742,-0.1336401645266294,-0.1307773937226775,-0.12797458178726573,-0.12523768900791987,-0.12256012686175932,-0.11994159646656122,-0.11737923994722842,-0.11487367516855862,-0.11242556603585419,-0.110031273485236,-0.10768776770968878,-0.10539815457769884,1000.0,-27932
7,6.699999999999999,0.15,4.6,7.1,115,5.901485289481072,-0.01388646358403689,0.0,28234,262,5.85,4.501782002730437e-05,4.385093343994839e-05,4.271526077292975e-05,4.1610601630992505e-05,4.053495483713476e-05,3.94883553633818e-05,3.846970908494285e-05,3.747822552302438e-05,3.651344449018268e-05,3.5573844980874014e-05,3.465993075879581e-05,3.377019580641516e-05,3.2904014790613445e-05,3.206102799913069e-05,3.124065506288076e-05,3.0441461573715856e-05,2.966426049244575e-05,2.8907121418786375e-05,2.8170364929636094e-05,2.745300931028538e-05,-0.08570379409764693,-0.0839141673153384,-0.08216242505593108,-0.08044813312834385,-0.07876960563882285,-0.07712779789608602,-0.07551880542174781,-0.0739445737894755,-0.07240437741528283,-0.07089529277511897,-0.0694196423531606,-0.06797586204154277,-0.06656059648133422,-0.06517648393863501,-0.0638214547361865,-0.06249498699105382,-0.06119701880951589,-0.05992607080401229,-0.0586829105370431,-0.05746606505004414,1100.0,1100.0,5.85,0.0,4.45,5.65,0,5.916289359754858,-0.012488085709652652,0.0,29112,245,5.050000000000001,4.219167959451653e-05,4.10684641849457e-05,3.997534081534582e-05,3.891239608311281e-05,3.787873237293127e-05,3.687301020072198e-05,3.589486152755228e-05,3.4943401505671545e-05,3.401792514345914e-05,3.311793339566549e-05,3.2242602476806326e-05,3.139062176860108e-05,3.056233321974133e-05,2.975613588862558e-05,2.8972333976362563e-05,2.820993716401432e-05,2.746743554826736e-05,2.6745878012324198e-05,2.6043582845858282e-05,2.5360537558860585e-05,-0.08095315720169083,-0.07921087097896738,-0.07750448163867496,-0.07583652644593818,-0.07420517167943785,-0.07260864824955027,-0.07104678222120242,-0.06951935489760697,-0.06802512190469123,-0.06656396493262662,-0.06513528157692239,-0.0637362802726571,-0.06236879196505285,-0.06103014641479109,-0.059722058848392656,-0.05844326183941372,-0.0571896585122289,-0.05596548992047423,-0.05476716155156547,-0.05359591293430443,1100.0,-878
8,9.2,0.175,7.4,12.15,230,8.53263014120779,-0.02469036942489844,0.0,53289,361,9.775,8.563598885569235e-05,8.331518197568499e-05,8.105922544299204e-05,7.886558739400584e-05,7.67331770346047e-05,7.465993323574338e-05,7.264431778342129e-05,7.068429286327671e-05,6.877894920265248e-05,6.69258021224195e-05,6.512458072815974e-05,6.337280700208225e-05,6.1669599982217e-05,6.001332680805049e-05,5.840292610637121e-05,5.683702924974554e-05,5.5314349212132186e-05,5.383381934676024e-05,5.239369466059074e-05,5.09936687320689e-05,-0.17979408587398443,-0.17569602336189677,-0.17169234208373502,-0.16777919492301396,-0.16395670199294637,-0.16022127861788832,-0.15657299401007024,-0.15300714913106594,-0.1495248132727961,-0.1461211839529742,-0.14279598650909092,-0.13954604946915594,-0.1363726274188201,-0.13327026085460333,-0.13024115491620983,-0.1272801516938684,-0.12438854381067938,-0.12156428289110863,-0.11880354577714006,-0.1161051925297586,1200.0,1200.0,7.8500000000000005,-0.4,6.25,7.8999999999999995,98,7.897141773000149,-0.018676719105512052,0.0,53845,287,7.075,6.800009832996778e-05,6.609255698286631e-05,6.423949816536378e-05,6.243971062414033e-05,6.069123203999993e-05,5.899276067644621e-05,5.734321073536108e-05,5.5740725368735866e-05,5.4184415843039346e-05,5.267222935589899e-05,5.1203650208719864e-05,4.977678824680254e-05,4.839045442128764e-05,4.7043741957519813e-05,4.57354470961846e-05,4.4464931459042845e-05,4.3230260482474137e-05,4.2030788016678144e-05,4.086551735893451e-05,3.9733213108572585e-05,-0.15634864788638403,-0.15260584288516288,-0.14895245892819986,-0.14538678836843788,-0.14190640490577167,-0.13850966140819265,-0.13519716053508324,-0.1319633615195337,-0.1288088631872064,-0.12572872995477935,-0.12272418386084505,-0.11979242648085808,-0.11693056958185899,-0.11413829930064234,-0.11141270342628573,-0.10875488847024162,-0.10615961465618273,-0.1036282252125098,-0.1011569733568618,-0.09874592381446168,1200.0,-556
9,6.85,0.0,3.65,7.499999999999999,0,3.777052092069191,-0.013683371888850715,0.0,883,166,5.574999999999999,4.562608735270146e-05,4.442838763552004e-05,4.3262745053063156e-05,4.212865278852007e-05,4.1025148833639946e-05,3.99509852977431e-05,3.890589794774968e-05,3.788868219167796e-05,3.68991243115957e-05,3.5935943110132484e-05,3.4998497988603106e-05,3.4086460320992273e-05,3.3198348514673626e-05,3.233438294891755e-05,3.149348171138655e-05,3.067526344047167e-05,2.987842917523409e-05,2.9103279231001977e-05,2.83486648045006e-05,2.761428696818058e-05,-0.0030032755915676552,-0.002933704988302699,-0.002865746635486055,-0.0027994224677246877,-0.0027346375612845586,-0.0026713515724542947,-0.0026095518609867137,-0.0025491995104115484,-0.0024902562595259803,-0.0024327074311072394,-0.0023764946137359577,-0.002321615950440003,-0.0022679712805591112,-0.002215624823655671,-0.002164501013162179,-0.0021145726884687077,-0.0020657834099087613,-0.0020181647854745077,-0.0019716666642517755,-0.0019262413260611733,1225.0,1225.0,7.8999999999999995,0.0,4.75,5.550000000000001,0,3.479813265510109,-0.01313367737210136,0.0,8912,182,5.15,4.533341035894978e-05,4.412083365323838e-05,4.2941088462811194e-05,4.179332546705439e-05,4.067690739795182e-05,3.959025995925458e-05,3.853390273533819e-05,3.7505618610822467e-05,3.6505524159125e-05,3.5532438102947594e-05,3.4585732056058305e-05,3.3664796506016614e-05,3.276881987979152e-05,3.189703501327301e-05,3.104920542895684e-05,3.0224044378357462e-05,2.942108778825059e-05,2.8640296800830356e-05,2.7880243669287097e-05,2.7141132674657342e-05,-0.035622498049336926,-0.03483081944280597,-0.03405669087336971,-0.03329950243148194,-0.03255925842028162,-0.0318349567818732,-0.031127563663155833,-0.030435234030872223,-0.029758559212775815,-0.029096734342882735,-0.02844991319250756,-0.02781731158636558,-0.0271990150771817,-0.026594222993950863,-0.02600329437067561,-0.025425162758313524,-0.02485987052274652,-0.024307539439851755,-0.023767227113384855,-0.023239284668433724,1225.0,-8029
