^SPX (Standard & Poors 500 Index),3097.74,-17.6
Jun 22 2020 @ 01:56 ET,Bid,3053.25,Ask,3185.43,Size,1x1,Vol,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
06/22/2020,SPXW200622C00800000,0,0,2268.6,2274.7,0,0,0.9738,0,0,800.000,SPXW200622P00800000,0,0,0,0.05,0,7.1247,-0.0001,0,0
06/22/2020,SPXW200622C00850000,0,0,2218.6,2224.7,0,0,0.9724,0,0,850.000,SPXW200622P00850000,0,0,0,0.05,0,6.8287,-0.0001,0,0
06/22/2020,SPXW200622C00900000,0,0,2168.6,2174.6,0,0,0.971,0,0,900.000,SPXW200622P00900000,0,0,0,0.05,0,6.4954,-0.0001,0,0
06/22/2020,SPXW200622C00950000,0,0,2118.7,2125.2,0,0,0.9695,0,0,950.000,SPXW200622P00950000,0,0,0,0.05,0,6.2522,-0.0001,0,0
06/22/2020,SPXW200622C01000000,0,0,2068.7,2075.2,0,0,0.9681,0,0,1000.000,SPXW200622P01000000,0,0,0,0.05,0,6.001,-0.0001,0,0
06/22/2020,SPXW200622C01050000,0,0,2018.5,2025.2,0,0,0.9666,0,0,1050.000,SPXW200622P01050000,0,0,0,0.05,0,5.751,-0.0001,0,0
06/22/2020,SPXW200622C01100000,0,0,1968.7,1975.2,0,0,0.965,0,0,1100.000,SPXW200622P01100000,0,0,0,0.05,0,5.501,-0.0001,0,0
06/22/2020,SPXW200622C01150000,1848.5,0,1918.6,1924.7,0,0,0.9634,0,1,1150.000,SPXW200622P01150000,0,0,0,0.05,0,5.251,-0.0001,0,0
06/22/2020,SPXW200622C01200000,0,0,1868.7,1875.2,0,0,0.9618,0,0,1200.000,SPXW200622P01200000,0,0,0,0.05,0,5.0396,-0.0001,0,0
06/22/2020,SPXW200622C01250000,0,0,1818.6,1824.7,0,0,0.9601,0,0,1250.000,SPXW200622P01250000,0,0,0,0.05,0,4.8273,-0.0001,0,0
06/22/2020,SPXW200622C01300000,0,0,1768.6,1774.7,0,0,0.9584,0,0,1300.000,SPXW200622P01300000,0,0,0,0.05,0,4.6242,-0.0001,0,0
